<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.VKCO:TQBR,D,20210923,000000,1541.8000000,1544.4000000,1501.2000000,1515.0000000,356138
MOEX.VKCO:TQBR,D,20210924,000000,1513.0000000,1530.0000000,1508.0000000,1525.4000000,210060
MOEX.VKCO:TQBR,D,20210927,000000,1525.6000000,1530.2000000,1480.8000000,1487.0000000,389023
MOEX.VKCO:TQBR,D,20210928,000000,1489.8000000,1516.2000000,1477.8000000,1498.2000000,303863
MOEX.VKCO:TQBR,D,20210929,000000,1500.0000000,1503.2000000,1488.0000000,1497.2000000,133296
MOEX.VKCO:TQBR,D,20210930,000000,1503.2000000,1506.2000000,1481.0000000,1488.0000000,253361
MOEX.VKCO:TQBR,D,20211001,000000,1483.2000000,1487.6000000,1474.0000000,1481.8000000,165429
MOEX.VKCO:TQBR,D,20211004,000000,1484.0000000,1487.6000000,1448.2000000,1461.8000000,269232
MOEX.VKCO:TQBR,D,20211005,000000,1457.0000000,1478.4000000,1437.6000000,1466.0000000,298879
MOEX.VKCO:TQBR,D,20211006,000000,1466.0000000,1470.4000000,1431.2000000,1448.2000000,332168
MOEX.VKCO:TQBR,D,20211007,000000,1458.2000000,1495.0000000,1442.8000000,1495.0000000,351315
MOEX.VKCO:TQBR,D,20211008,000000,1495.2000000,1498.4000000,1460.0000000,1465.0000000,268731
MOEX.VKCO:TQBR,D,20211011,000000,1468.6000000,1470.2000000,1438.0000000,1456.6000000,308805
MOEX.VKCO:TQBR,D,20211012,000000,1456.6000000,1489.2000000,1447.2000000,1468.0000000,440577
MOEX.VKCO:TQBR,D,20211013,000000,1462.8000000,1478.4000000,1452.6000000,1473.2000000,215627
MOEX.VKCO:TQBR,D,20211014,000000,1476.8000000,1486.8000000,1470.0000000,1472.8000000,252264
MOEX.VKCO:TQBR,D,20211015,000000,1468.2000000,1499.6000000,1468.2000000,1495.0000000,281633
MOEX.VKCO:TQBR,D,20211018,000000,1499.0000000,1571.0000000,1491.0000000,1570.6000000,780974
MOEX.VKCO:TQBR,D,20211019,000000,1571.6000000,1591.0000000,1563.4000000,1573.8000000,488968
MOEX.VKCO:TQBR,D,20211020,000000,1572.0000000,1619.4000000,1572.0000000,1614.8000000,536853
MOEX.VKCO:TQBR,D,20211021,000000,1609.0000000,1618.6000000,1586.0000000,1596.2000000,367976
MOEX.VKCO:TQBR,D,20211022,000000,1602.6000000,1603.0000000,1538.0000000,1546.0000000,572028
MOEX.VKCO:TQBR,D,20211025,000000,1545.0000000,1555.8000000,1522.0000000,1547.0000000,389985
MOEX.VKCO:TQBR,D,20211026,000000,1557.0000000,1557.2000000,1509.0000000,1515.4000000,292053
MOEX.VKCO:TQBR,D,20211027,000000,1515.0000000,1546.2000000,1502.8000000,1540.2000000,382913
MOEX.VKCO:TQBR,D,20211028,000000,1539.0000000,1545.2000000,1484.6000000,1504.2000000,708834
MOEX.VKCO:TQBR,D,20211029,000000,1504.2000000,1509.0000000,1443.6000000,1461.2000000,685916
MOEX.VKCO:TQBR,D,20211101,000000,1473.0000000,1473.0000000,1439.8000000,1463.4000000,513701
MOEX.VKCO:TQBR,D,20211102,000000,1465.0000000,1469.0000000,1434.0000000,1441.4000000,404439
MOEX.VKCO:TQBR,D,20211103,000000,1442.4000000,1457.4000000,1437.2000000,1449.8000000,234928
MOEX.VKCO:TQBR,D,20211105,000000,1452.0000000,1453.4000000,1427.0000000,1438.0000000,222612
MOEX.VKCO:TQBR,D,20211108,000000,1442.0000000,1457.0000000,1426.2000000,1433.8000000,345328
MOEX.VKCO:TQBR,D,20211109,000000,1428.8000000,1435.6000000,1400.6000000,1405.0000000,565948
